SYMBOL,LTP,SUPPORTS,RESISTANCES
RELIANCE.NS,1451.6,1433.77 (-1.23%) | 1391.34 (-4.15%),1544.83 (+6.42%)
INFY.NS,1525.4,1518.63 (-0.44%) | 1482.50 (-2.81%),1555.00 (+1.94%) | 1586.58 (+4.01%)
TCS.NS,3063.2,3004.79 (-1.91%) | 2855.95 (-6.77%),3065.77 (+0.08%) | 3177.33 (+3.73%)
