Stock,LTP,Swing Type,Near Level,Level Price,Dist %
JSWENERGY,492.8,Bearish,50.0%,489.1,0.76
JSWINFRA,257.7,Bearish,0.0%,258.1,0.15
JSWSTEEL,1187.3,Bearish,78.6%,1191.65,0.37
JUBLINGREA,701.25,Bullish,38.2%,703.39,0.3
JUBLPHARMA,1045.6,Bearish,23.6%,1046.64,0.1
JYOTICNC,924.05,Bullish,61.8%,918.36,0.62
KFINTECH,1070.8,Bearish,23.6%,1064.49,0.59
KOTAKBANK,418.2,Bullish,61.8%,416.65,0.37
KPITTECH,1187.2,Bearish,38.2%,1189.79,0.22
LICHSGFIN,533.65,Bearish,23.6%,536.57,0.54
LINDEINDIA,6101.0,Bearish,50.0%,6136.5,0.58
LLOYDSME,1229.0,Bullish,78.6%,1218.15,0.89
LT,3856.4,Bullish,50.0%,3855.7,0.02
LTFOODS,364.5,Bearish,0.0%,362.2,0.64
M&M,3658.2,Bullish,38.2%,3670.22,0.33
MAHABANK,66.53,Bullish,0.0%,65.97,0.85
MAHSCOOTER,13809.0,Bearish,0.0%,13802.0,0.05
MANKIND,2175.4,Bearish,23.6%,2189.57,0.65
MARICO,760.15,Bullish,23.6%,758.83,0.17
METROPOLIS,1903.4,Bearish,23.6%,1912.54,0.48
MFSL,1651.7,Bullish,38.2%,1656.59,0.29
MINDACORP,560.8,Bearish,0.0%,557.25,0.64
MMTC,68.87,Bearish,78.6%,69.03,0.24
MOTHERSON,114.79,Bullish,38.2%,115.66,0.75
MPHASIS,2886.5,Bullish,23.6%,2888.16,0.06
NATCOPHARM,859.4,Bullish,61.8%,854.47,0.58
NAUKRI,1329.1,Bearish,23.6%,1329.9,0.06
NBCC,103.72,Bullish,100.0%,104.7,0.94
NH,1916.8,Bullish,50.0%,1909.35,0.39
NHPC,80.22,Bearish,38.2%,80.06,0.2
NIACL,149.92,Bearish,0.0%,149.8,0.08
NIVABUPA,78.61,Bullish,23.6%,78.49,0.15
NLCINDIA,257.3,Bullish,50.0%,257.1,0.08
NMDC,82.74,Bullish,23.6%,83.3,0.68
NSLNISP,41.76,Bearish,23.6%,41.67,0.21
NTPC,346.35,Bullish,23.6%,345.54,0.24
NTPCGREEN,92.4,Bearish,23.6%,93.28,0.94
NUVAMA,1474.5,Bullish,38.2%,1462.66,0.81
OBEROIRLTY,1664.5,Bullish,61.8%,1664.0,0.03
OFSS,7959.5,Bearish,23.6%,7962.87,0.04
OIL,448.65,Bearish,100.0%,449.5,0.19
OLAELEC,37.24,Bearish,23.6%,37.34,0.27
ONESOURCE,1755.1,Bearish,61.8%,1760.63,0.31
ONGC,247.17,Bearish,61.8%,247.08,0.04
PATANJALI,521.6,Bearish,0.0%,521.0,0.12
PETRONET,284.65,Bullish,38.2%,285.93,0.45
PFC,375.35,Bearish,50.0%,378.15,0.74
PFIZER,4760.9,Bullish,100.0%,4770.5,0.2
PGEL,585.75,Bullish,50.0%,580.33,0.93
PIDILITIND,1476.6,Bearish,23.6%,1470.01,0.45
PNBHOUSING,961.5,Bullish,23.6%,953.1,0.88
POLICYBZR,1620.0,Bullish,100.0%,1631.2,0.69
POLYCAB,7121.5,Bullish,78.6%,7149.42,0.39
POONAWALLA,463.95,Bullish,61.8%,465.77,0.39
POWERGRID,257.3,Bearish,0.0%,255.8,0.59
PPLPHARMA,166.28,Bearish,0.0%,165.12,0.7
PRAJIND,311.15,Bearish,23.6%,311.43,0.09
PTCIL,17968.0,Bullish,23.6%,17938.9,0.16
RADICO,2891.1,Bullish,100.0%,2887.1,0.14
RAILTEL,347.85,Bearish,38.2%,349.96,0.6
RAINBOW,1266.4,Bearish,0.0%,1279.0,0.99
RAMCOCEM,1071.9,Bearish,78.6%,1069.12,0.26
RECLTD,371.0,Bearish,61.8%,367.75,0.88
REDINGTON,263.5,Bullish,78.6%,261.76,0.66
RELIANCE,1457.9,Bullish,61.8%,1444.2,0.95
RRKABEL,1475.5,Bullish,23.6%,1481.49,0.4
SAILIFE,872.2,Bullish,78.6%,870.09,0.24
SAPPHIRE,221.45,Bearish,0.0%,221.4,0.02
SARDAEN,491.65,Bearish,23.6%,487.28,0.9
SBFC,107.01,Bearish,23.6%,107.22,0.2
SCHAEFFLER,3835.6,Bearish,23.6%,3866.37,0.8
SHREECEM,27840.0,Bearish,50.0%,27822.5,0.06
SOBHA,1527.3,Bearish,38.2%,1523.73,0.23
SONACOMS,460.1,Bullish,50.0%,461.45,0.29
SONATSOFTW,339.05,Bearish,0.0%,338.2,0.25
SRF,3027.4,Bearish,61.8%,3042.8,0.51
SUMICHEM,430.65,Bearish,0.0%,432.2,0.36
SUNDARMFIN,5082.5,Bullish,23.6%,5110.69,0.55
SUNDRMFAST,933.15,Bearish,23.6%,936.9,0.4
SUNPHARMA,1668.9,Bullish,61.8%,1662.98,0.36
SUNTV,548.05,Bullish,78.6%,548.0,0.01
SUPREMEIND,3489.2,Bearish,23.6%,3524.2,0.99
SYNGENE,627.1,Bullish,78.6%,623.65,0.55
SYRMA,708.15,Bearish,0.0%,704.4,0.53
TATACOMM,1754.6,Bearish,0.0%,1765.0,0.59
TATACONSUM,1189.1,Bullish,23.6%,1193.08,0.33
TATASTEEL,188.21,Bullish,0.0%,187.85,0.19
TATATECH,650.6,Bearish,23.6%,653.32,0.42
TBOTEK,1520.8,Bullish,78.6%,1530.73,0.65
TCS,3206.7,Bullish,23.6%,3219.57,0.4
THELEELA,441.1,Bearish,61.8%,439.78,0.3
TIMKEN,2990.5,Bearish,50.0%,2989.75,0.03
TITAGARH,805.9,Bearish,23.6%,797.99,0.99
TMPV,353.6,Bearish,23.6%,356.89,0.92
TORNTPOWER,1357.7,Bullish,23.6%,1369.37,0.85
TRENT,3899.7,Bearish,0.0%,3930.1,0.77
TRIVENI,333.65,Bullish,100.0%,335.65,0.6
TVSMOTOR,3667.8,Bullish,38.2%,3692.02,0.66
UCOBANK,29.66,Bearish,23.6%,29.46,0.69
ULTRACEMCO,12378.0,Bearish,78.6%,12471.72,0.75
UNITDSPR,1348.7,Bullish,78.6%,1340.23,0.63
UNOMINDA,1184.0,Bearish,0.0%,1177.1,0.59
UTIAMC,1086.7,Bearish,0.0%,1093.0,0.58
VENTIVE,763.0,Bullish,23.6%,756.23,0.9
VIJAYA,987.8,Bearish,23.6%,991.38,0.36
VOLTAS,1411.4,Bullish,50.0%,1403.0,0.6
VTL,417.5,Bullish,61.8%,417.38,0.03
WOCKPHARMA,1427.6,Bullish,38.2%,1436.37,0.61
YESBANK,23.46,Bullish,0.0%,23.57,0.47
ZEEL,89.5,Bearish,0.0%,89.52,0.02
ZENTEC,1328.4,Bearish,0.0%,1318.0,0.79
ZFCVINDIA,14049.0,Bullish,50.0%,14075.0,0.18
^CNXAUTO,27596.25,Bullish,50.0%,27732.22,0.49
^CNXENERGY,34346.35,Bearish,23.6%,34627.32,0.81
^CNXMETAL,11600.05,Bullish,0.0%,11652.7,0.45
^CNXPHARMA,22217.05,Bullish,100.0%,22105.2,0.51
^CNXREALTY,853.0,Bearish,0.0%,851.6,0.16
^NSEBANK,60095.15,Bullish,0.0%,60437.35,0.57
^NSEI,25694.35,Bullish,38.2%,25691.14,0.01
